Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/South Africa/NHLS-UCT-GS-1454-KRISP/2020	EPI_ISL_696470	2020-11-19	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-3467-KRISP/2020	EPI_ISL_696471	2020-11-19	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1396-KRISP/2020	EPI_ISL_696472	2020-11-18	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-3556-KRISP/2020	EPI_ISL_696473	2020-11-19	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1395-KRISP/2020	EPI_ISL_696474	2020-11-18	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7003-KRISP/2020	EPI_ISL_696478	2020-11-18	Africa / South Africa / Western Cape / Knysna	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-3553-KRISP/2020	EPI_ISL_696481	2020-11-19	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7019-KRISP/2020	EPI_ISL_696486	2020-11-20	Africa / South Africa / Western Cape / Knysna	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-3569-KRISP/2020	EPI_ISL_696488	2020-11-20	Africa / South Africa / Western Cape / Knysna	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7000-KRISP/2020	EPI_ISL_696490	2020-11-20	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7013-KRISP/2020	EPI_ISL_696491	2020-11-19	Africa / South Africa / Western Cape / Knysna	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7063-KRISP/2020	EPI_ISL_696492	2020-11-24	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	NS7a_Q76stop results in 38.0% truncation of the protein sequence. Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7043-KRISP/2020	EPI_ISL_696494	2020-11-24	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7067-KRISP/2020	EPI_ISL_696495	2020-11-25	Africa / South Africa / Western Cape / Knysna	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7042-KRISP/2020	EPI_ISL_696496	2020-11-24	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7038-KRISP/2020	EPI_ISL_696497	2020-11-24	Africa / South Africa / Western Cape / Mossel Bay	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7025-KRISP/2020	EPI_ISL_696500	2020-11-24	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7035-KRISP/2020	EPI_ISL_696501	2020-11-24	Africa / South Africa / Western Cape / Mossel Bay	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7036-KRISP/2020	EPI_ISL_696507	2020-11-24	Africa / South Africa / Western Cape / Mossel Bay	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7037-KRISP/2020	EPI_ISL_696512	2020-11-24	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7058-KRISP/2020	EPI_ISL_696515	2020-11-24	Africa / South Africa / Western Cape / Knysna	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7032-KRISP/2020	EPI_ISL_696520	2020-11-24	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7034-KRISP/2020	EPI_ISL_696521	2020-11-24	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1330/2020	EPI_ISL_700422	2020-11-04	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1379/2020	EPI_ISL_700423	2020-11-13	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1049/2020	EPI_ISL_700424	2020-10-28	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1364/2020	EPI_ISL_700425	2020-11-13	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1332/2020	EPI_ISL_700426	2020-11-04	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1386/2020	EPI_ISL_700427	2020-11-12	Africa / South Africa / Western Cape / Mossel Bay	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1067/2020	EPI_ISL_700428	2020-10-30	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1369/2020	EPI_ISL_700429	2020-11-12	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1367/2020	EPI_ISL_700430	2020-11-12	Africa / South Africa / Western Cape / Bitou	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1100/2020	EPI_ISL_700431	2020-11-03	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1358/2020	EPI_ISL_700432	2020-11-05	Africa / South Africa / Western Cape / Mossel Bay	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1342/2020	EPI_ISL_700433	2020-11-05	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1374/2020	EPI_ISL_700434	2020-11-13	Africa / South Africa / Western Cape / Bitou	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1025/2020	EPI_ISL_700435	2020-10-26	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1381/2020	EPI_ISL_700436	2020-11-13	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1382/2020	EPI_ISL_700437	2020-11-13	Africa / South Africa / Western Cape / Bitou	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-0660/2020	EPI_ISL_700438	2020-10-22	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1153/2020	EPI_ISL_700439	2020-11-02	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1350/2020	EPI_ISL_700440	2020-11-06	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-0808/2020	EPI_ISL_700441	2020-10-15	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1372/2020	EPI_ISL_700442	2020-11-13	Africa / South Africa / Western Cape / Bitou	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1384/2020	EPI_ISL_700443	2020-11-13	Africa / South Africa / Western Cape / Bitou	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1334/2020	EPI_ISL_700444	2020-11-05	Africa / South Africa / Western Cape / Bitou	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1366/2020	EPI_ISL_700445	2020-11-13	Africa / South Africa / Western Cape / Klipfontein	Human	Original			Illumina MiSeq		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1383/2020	EPI_ISL_700456	2020-11-13	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1314/2020	EPI_ISL_700458	2020-11-02	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-0662/2020	EPI_ISL_700460	2020-10-22	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1269/2020	EPI_ISL_700461	2020-11-05	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1079/2020	EPI_ISL_700464	2020-10-29	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1148/2020	EPI_ISL_700467	2020-11-02	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-0677/2020	EPI_ISL_700469	2020-10-20	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1385/2020	EPI_ISL_700470	2020-11-12	Africa / South Africa / Western Cape / Mossel Bay	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1388/2020	EPI_ISL_700475	2020-11-12	Africa / South Africa / Western Cape / Mossel Bay	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-0633/2020	EPI_ISL_700478	2020-10-19	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-0669/2020	EPI_ISL_700482	2020-10-23	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-0671/2020	EPI_ISL_700483	2020-10-23	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1376/2020	EPI_ISL_700485	2020-11-13	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1131/2020	EPI_ISL_700487	2020-11-06	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1363/2020	EPI_ISL_700490	2020-11-13	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-0807/2020	EPI_ISL_700492	2020-10-15	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1198/2020	EPI_ISL_700496	2020-11-03	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1030/2020	EPI_ISL_700498	2020-10-27	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1312/2020	EPI_ISL_700500	2020-11-02	Africa / South Africa / Western Cape / Bitou	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1365/2020	EPI_ISL_700502	2020-11-13	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1107/2020	EPI_ISL_700504	2020-11-04	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1377/2020	EPI_ISL_700505	2020-11-13	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-0676/2020	EPI_ISL_700510	2020-10-19	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1389/2020	EPI_ISL_700520	2020-11-12	Africa / South Africa / Western Cape / Oudtshoorn	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1380/2020	EPI_ISL_700524	2020-11-13	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1344/2020	EPI_ISL_700529	2020-11-05	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1349/2020	EPI_ISL_700531	2020-11-06	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-0684/2020	EPI_ISL_700535	2020-10-23	Africa / South Africa / Western Cape / Bitou	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1047/2020	EPI_ISL_700539	2020-10-28	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1071/2020	EPI_ISL_700540	2020-10-26	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1378/2020	EPI_ISL_700542	2020-11-13	Africa / South Africa / Western Cape / Knysna	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1362/2020	EPI_ISL_700550	2020-11-12	Africa / South Africa / Western Cape / Mossel Bay	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-0812/2020	EPI_ISL_700551	2020-10-15	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1145/2020	EPI_ISL_700554	2020-11-02	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1042/2020	EPI_ISL_700563	2020-10-28	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1326/2020	EPI_ISL_700579	2020-11-04	Africa / South Africa / Western Cape / Bitou	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-0659/2020	EPI_ISL_700581	2020-10-22	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-0666/2020	EPI_ISL_700587	2020-10-23	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1390/2020	EPI_ISL_700589	2020-11-12	Africa / South Africa / Western Cape / Oudtshoorn	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1028/2020	EPI_ISL_700590	2020-10-27	Africa / South Africa / Western Cape / George	Human	Original			Illumina MiSeq				B.1.351	GH
hCoV-19/South Africa/KRISP-WC-SA04352416/2020	EPI_ISL_736928	2020-11-24	Africa / South Africa / Western Cape / Garden Route	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/KRISP-WC-SA04352428/2020	EPI_ISL_736929	2020-11-24	Africa / South Africa / Western Cape / Garden Route	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
